qid,P1416,S854,P1416.1,S813
Q73310141,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105620819,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q55876346,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105620834,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105620872,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q89807827,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q54378111,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q101044620,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105620895,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q42882579,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105620908,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q60999928,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q89636591,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q55381430,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105620910,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105620913,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q105481884,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q102215218,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q58227710,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q81786981,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q59678614,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q30650637,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q28743719,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q56747816,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q38326817,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q39183772,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q41905720,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q55188530,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q41733514,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q80618264,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q56549149,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q59259875,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
Q56992684,Q105481707,"http://www.pgbioinfo.icb.ufmg.br/corpodoc.php",Q105481707,"2021-02-21T00:00:00Z/11"
